Console,GameName,Score
TG16,Soldier Blade Review,7
X360,Root Beer Tapper Review,7
PS2,Ar Tonelico: Melody of Elemia Review,6
PSP,Capcom Puzzle World Review,7
SNES,Super Mario World Review,8
PC,World of Warcraft: The Burning Crusade Review,9
DS,Fullmetal Alchemist: Dual Sympathy Review,4
DS,Underground Pool Review,3
GBA,Bionicle Heroes Review,7
PS3,Sonic the Hedgehog Review,4
SNES,Contra III: The Alien Wars Review,7
PSP,Bubble Bobble Evolution Review,4
DS,Bionicle Heroes Review,7
PC,The Shield Review,3
X360,Battlestations: Midway Review,7
PC,Battlestations: Midway Review,7
SNES,The Legend of Zelda: A Link to the Past Review,8
GEN,Comix Zone Review,6
GBA,Arthur and the Invisibles Review,3
X360,Fuzion Frenzy 2 Review,7
PC,DMZ: North Korea Review,2
PSP,Sid Meier's Pirates! Review,8
DS,Rafa Nadal Tennis Review,4
PC,Crashday Review,4
PC,"Sam & Max Episode 3: The Mole, the Mob and the Meatball Review",7
TG16,R-Type Review,7
PC,Europa Universalis III Review,8
DS,Digimon World DS Review,7
PC,Deal or No Deal Review,4
DS,Mini RC Rally Review,1
DS,Xiaolin Showdown Review,6
SNES,R-Type III Review,7
PS2,Rogue Galaxy Review,8
DS,Hotel Dusk: Room 215 Review,8
DS,Micro Machines V4 Review,5
PS2,NCAA March Madness 07 Review,6
PSP,Micro Machines V4 Review,5
GBA,Eragon Review,6
GEN,ToeJam & Earl Review,7
PS2,World Championship Poker 2: Featuring Howard Lederer Review,7
PS2,The Shield Review,3
X360,NCAA March Madness 07 Review,6
PS2,Drive to Survive Review,2
SNES,Street Fighter II: The World Warrior Review,7
NES,Gradius Review,7
TG16,Moto Roader Review,6
PC,Rayman Raving Rabbids Review,7
X360,Heavy Weapon: Atomic Tank Review,7
PSP,Xiaolin Showdown Review,3
XBOX,Xiaolin Showdown Review,3
PSP,Avatar: The Last Airbender Review,6
DS,Avatar: The Last Airbender Review,5
GBA,Avatar: The Last Airbender Review,7
PC,Guild Wars Factions Review,8
DS,Phoenix Wright: Ace Attorney Justice for All Review,7
PC,Sam & Max Episode 2: Situation: Comedy Review,7
DS,March of the Penguins Review,4
GBA,March of the Penguins Review,4
WII,WarioWare: Smooth Moves Review,9
X360,Lost Planet: Extreme Condition Review,8
X360,Ms. Pac-Man Review,6
PS2,Naruto: Uzumaki Chronicles Review,6
SNES,Super Castlevania IV Review,7
XBOX,Capcom Classics Collection Review,7
NES,Wario's Woods Review,7
NES,Urban Champion Review,3
GEN,Dr. Robotnik's Mean Bean Machine Review,6
GBA,Mazes of Fate Review,6
GBA,Super Robot Taisen: Original Generation Review,8
WII,Metal Slug Anthology Review,7
GBA,Summon Night: Swordcraft Story 2 Review,7
PS2,Karaoke Revolution Presents: American Idol Review,7
PC,RACE - The WTCC Game Review,8
NES,Baseball Review,4
PSP,BattleZone Review,6
NES,Super Mario Bros. Review,8
X360,New Rally-X Review,4
PC,Desperate Housewives: The Game Review,6
X360,Worldwide Soccer Manager 2007 Review,8
PSP,Worldwide Soccer Manager 2007 Review,8
X360,Novadrome Review,5
TG16,Super Star Soldier Review,6
NES,Donkey Kong Jr. Review,4
TG16,Alien Crush Review,7
WII,World Series of Poker: Tournament of Champions Review,5
GEN,Space Harrier II Review,6
GEN,Columns Review,5
WII,Happy Feet Review,3
WII,The Ant Bully Review,3
PS3,Blazing Angels: Squadrons of WWII Review,6
WII,Far Cry Vengeance Review,5
PC,FIFA Manager 07 Review,7
PSP,Blitz: Overtime Review,6
DS,Star Wars: Lethal Alliance Review,7
PSP,Brothers in Arms D-Day Review,5
GBA,Spider-Man: Battle for New York Review,4
DS,Spider-Man: Battle for New York Review,7
PS2,Delta Force: Black Hawk Down: Team Sabre Review,4
PC,Victoria: Revolutions Review,5
GEN,Gunstar Heroes Review,8
X360,Star Trek: Legacy Review,7
DS,Bomberman Land Touch! Review,8
NES,Tennis Review,5
PSP,Luxor: The Wrath of Set Review,5
PC,Silent Heroes Review,5
X360,Pimp My Ride Review,4
PS2,Pimp My Ride Review,4
PC,Happy Feet Review,3
DS,Cartoon Network Racing Review,6
PS2,Cartoon Network Racing Review,3
PSP,Platypus Review,6
PSP,The Sims 2: Pets Review,5
DS,Happy Feet Review,3
GBA,Happy Feet Review,6
GBA,Polarium Advance Review,7
PC,Tom Clancy's Rainbow Six Vegas Review,8
XBOX,Dance Dance Revolution Ultramix 4 Review,7
PS2,College Hoops 2K7 Review,7
PS2,One Piece: Pirates Carnival Review,5
GC,One Piece: Pirates Carnival Review,5
PC,Flyboys Review,3
GBA,Yggdra Union Review,8
GC,The Legend of Zelda: Twilight Princess Review,8
WII,Ice Age 2: The Meltdown Review,7
WII,Barnyard Review,7
PSP,Eragon Review,6
PS3,Full Auto 2: Battlelines Review,5
PC,Star Trek: Legacy Review,5
PS2,Guitar Hero II Review,8
DS,Eragon Review,6
PSP,EA Replay Review,5
DS,Tomb Raider: Legend Review,7
XBOX,Teen Titans Review,6
PS2,Rayman Raving Rabbids Review,7
GBA,Super Robot Taisen: Original Generation 2 Review,8
XBOX,Capcom Classics Collection Vol. 2 Review,7
PS2,Capcom Classics Collection Vol. 2 Review,7
X360,History Channel: Civil War Review,5
PS2,History Channel: Civil War Review,5
PC,History Channel: Civil War Review,5
X360,Eragon Review,4
PC,Eragon Review,4
XBOX,Eragon Review,4
PS2,Eragon Review,4
PS2,IGPX: Immortal Grand Prix Review,5
WII,Rayman Raving Rabbids Review,8
X360,RoboBlitz Review,7
PC,RoboBlitz Review,7
PSP,Star Wars: Lethal Alliance Review,7
PSP,Sonic Rivals Review,6
GBA,Superman Returns: Fortress of Solitude Review,6
DS,Superman Returns: The Videogame Review,2
X360,World Championship Poker: Featuring Howard Lederer - All In Review,5
PC,World Series of Poker: Tournament of Champions Review,5
DS,Monster Bomber Review,6
TG16,Bonk's Adventure Review,6
PS2,Eagle Eye Golf Review,5
XBOX,Tony Hawk's Project 8 Review,6
PS2,Tony Hawk's Project 8 Review,6
GC,Zatch Bell! Mamodo Fury Review,4
PC,Sonic Riders Review,6
PS2,Zatch Bell! Mamodo Fury Review,4
PS2,Corvette Evolution GT Review,6
PS3,Fight Night Round 3 Review,8
PSP,Metal Gear Solid: Portable Ops Review,9
PSP,Capcom Classics Collection Reloaded Review,7
PSP,Justice League Heroes Review,7
NES,Solomon's Key Review,7
GEN,Golden Axe Review,6
PS3,NBA 2K7 Review,8
PS3,Cash Guns Chaos Review,4
PS3,Need for Speed Carbon Review,7
WII,Monster 4x4: World Circuit Review,4
SNES,SimCity Review,7
NES,Soccer Review,2
WII,Rapala Tournament Fishing Review,4
DS,Kirby Squeak Squad  Review,7
PC,Heroes of Annihilated Empires Review,6
WII,Dragon Ball Z: Budokai Tenkaichi 2 Review,6
PS2,Avatar: The Last Airbender Review,5
PS2,NRA Gun Club Review,1
GC,Cars Review,7
PS2,Cars Review,7
XBOX,Cars Review,7
PC,The Elder Scrolls IV: Knights of the Nine Review,8
PC,"The Lord of the Rings, The Battle for Middle-earth II, The Rise of the Witch-King Review",7
DS,Pokemon Ranger Review,7
PC,Gothic 3 Review,7
WII,Open Season Review,3
XBOX,Big Bumpin' Review,5
XBOX,Pocketbike Racer Review,5
PSP,WWE SmackDown! vs. RAW 2007 Review,7
X360,College Hoops 2K7 Review,7
XBOX,College Hoops 2K7 Review,7
GBA,Scurge: Hive Review,7
DS,Scurge: Hive Review,7
PS2,Harley-Davidson Motorcycles: Race to the Rally Review,2
XBOX,Sneak King Review,5
PS2,Bionicle Heroes Review,5
GC,Bionicle Heroes Review,5
X360,Bionicle Heroes Review,5
PC,Bionicle Heroes Review,5
PSP,Gitaroo Man Lives! Review,7
PS2,The Sopranos: Road to Respect Review,4
PC,EverQuest II: Echoes of Faydwer Review,7
DS,Final Fantasy III Review,7
PSP,Activision Hits Remixed Review,7
PC,Brigade E5: New Jagged Union Review,3
PS2,Call of Duty 3 Review,8
XBOX,Call of Duty 3 Review,8
NES,Pinball Review,4
PSP,Every Extend Extra Review,6
PSP,Star Trek: Tactical Assault Review,6
DS,Asphalt: Urban GT 2 Review,7
PC,Left Behind: Eternal Forces Review,3
X360,Small Arms Review,6
PC,Agatha Christie: Murder on the Orient Express Review,5
X360,Superman Returns: The Videogame Review,4
PSP,Sega Genesis Collection Review,8
PS2,Sega Genesis Collection Review,8
DS,Konductra Review,4
GC,Tomb Raider: Legend Review,7
PSP,Snoopy vs. the Red Baron Review,7
PC,Snoopy vs. the Red Baron Review,7
PS2,Snoopy vs. the Red Baron Review,7
DS,Touch Detective Review,6
NES,The Legend of Zelda Review,7
PC,Heroes of Might and Magic V: Hammers of Fate Review,6
NES,Mario Bros. Review,4
PC,ArchLord Review,2
WII,The Grim Adventures of Billy & Mandy Review,6
WII,Marvel: Ultimate Alliance Review,7
X360,Tom Clancy's Rainbow Six Vegas Review,9
X360,Sonic the Hedgehog Review,4
PC,Devil May Cry 3: Special Edition Review,7
NES,Donkey Kong Review,4
PS2,The Grim Adventures of Billy & Mandy Review,6
GC,The Grim Adventures of Billy & Mandy Review,6
XBOX,Thrillville Review,7
PS2,Thrillville Review,7
PSP,Thrillville Review,7
PSP,Dave Mirra BMX Challenge Review,3
DS,Gunpey DS Review,7
GBA,Sonic the Hedgehog Genesis Review,2
PSP,NFL Street 3 Review,6
X360,Defender Review,6
DS,The Sims 2: Pets Review,4
PC,The Secret Files: Tunguska Review,6
SNES,F-Zero Review,8
WII,Wii Sports Review,7
GEN,Sonic the Hedgehog Review,7
WII,Call of Duty 3 Review,7
WII,Tony Hawk's Downhill Jam Review,6
WII,GT Pro Series Review,5
PS3,Ridge Racer 7 Review,8
PS3,Blast Factor Review,6
PS3,Untold Legends: Dark Kingdom Review,6
PS3,Madden NFL 07 Review,7
PS2,NFL Street 3 Review,6
PS3,Mobile Suit Gundam: Crossfire Review,3
WII,Super Monkey Ball: Banana Blitz Review,8
PS3,NHL 2K7 Review,8
WII,Trauma Center: Second Opinion Review,8
GBA,Final Fantasy V Advance Review,8
PC,Birth of America Review,6
X360,Viva Pinata Review,8
PS3,Resistance: Fall of Man Review,8
WII,Excite Truck Review,6
PS3,Call of Duty 3 Review,8
X360,Dead or Alive Xtreme 2 Review,5
PC,Medieval 2: Total War Review,8
PC,Evidence: The Last Ritual Review,6
PS2,WWE SmackDown! vs. RAW 2007 Review,8
X360,WWE SmackDown! vs. RAW 2007 Review,8
DS,Yoshi's Island DS Review,9
PSP,Lumines II Review,8
DS,Children of Mana Review,5
X360,Contra Review,6
DS,Need for Speed Carbon Review,7
PS2,Star Trek: Encounters Review,4
PC,Stronghold Legends Review,4
DS,Star Trek: Tactical Assault Review,6
PC,Jaws Unleashed Review,3
PSP,Need for Speed Carbon: Own the City Review,7
GBA,Need for Speed Carbon: Own the City Review,6
X360,FIFA 07 Review,8
GBA,Tony Hawk's Downhill Jam Review,6
PS3,Tony Hawk's Project 8 Review,7
X360,Tony Hawk's Project 8 Review,7
PS2,SOCOM: U.S. Navy Seals: Combined Assault Review,8
X360,Call of Duty 3 Review,8
PC,1701 A.D. Review,7
PSP,Dungeon Siege: Throne of Agony Review,6
PSP,Ford Bold Moves Street Racing Review,5
DS,Elite Beat Agents Review,8
DS,Contact Review,6
DS,Flushed Away Review,6
GBA,Flushed Away Review,3
PC,Need for Speed Carbon Review,7
PS2,Flushed Away Review,4
PSP,Grand Theft Auto: Vice City Stories Review,8
PC,Space Empires V Review,6
X360,Phantasy Star Universe Review,6
PC,ParaWorld Review,6
PC,NBA Live '07 Review,5
PC,El Matador Review,5
GC,Need for Speed Carbon Review,7
GC,Flushed Away Review,4
PSP,Power Stone Collection Review,7
XBOX,Need for Speed Carbon Review,7
PS2,Need for Speed Carbon Review,7
GBA,Marvel: Ultimate Alliance Review,2
PC,ProStroke Golf - World Tour 2007 Review,5
X360,Need for Speed Carbon Review,7
PC,Neverwinter Nights 2 Review,8
X360,F.E.A.R. Review,8
DS,Magical Starsign Review,7
PSP,Death Jr. II: Root of Evil Review,6
DS,Nacho Libre Review,5
PS2,Final Fantasy XII Review,9
PS2,ATV Offroad Fury 4 Review,8
GBA,Justice League Heroes: The Flash Review,7
PSP,Killzone: Liberation Review,8
PC,Marvel: Ultimate Alliance Review,8
PSP,ATV Offroad Fury Pro Review,7
PC,Football Manager 2007 Review,8
X360,Marvel: Ultimate Alliance Review,8
DS,Tony Hawk's Downhill Jam Review,6
GC,The Legend of Spyro: A New Beginning Review,5
PS2,The Legend of Spyro: A New Beginning Review,5
XBOX,The Legend of Spyro: A New Beginning Review,5
DS,The Legend of Spyro: A New Beginning Review,7
GBA,The Legend of Spyro: A New Beginning Review,3
X360,Cars Review,7
PC,Dark Messiah of Might and Magic Review,6
PS2,.hack//G.U. vol. 1//Rebirth Review,6
PC,F.E.A.R. Extraction Point Review,7
PC,The Guild 2 Review,6
XBOX,Reservoir Dogs Review,4
PS2,Reservoir Dogs Review,4
PC,Reservoir Dogs Review,4
PSP,Medal of Honor Heroes Review,7
PC,Star Wars: Empire at War: Forces of Corruption Review,8
PC,The Sims 2: Pets Review,7
PS2,Justice League Heroes Review,7
XBOX,Justice League Heroes Review,7
PSP,Family Guy Review,6
XBOX,Family Guy Review,6
PS2,Family Guy Review,6
PSP,FIFA 07 Review,7
PC,Alliance: Future Combat Review,2
PC,Championship Manager 2007 Review,7
X360,Ultimate Mortal Kombat 3 Review,8
PS2,Greg Hastings' Tournament Paintball Max'd Review,7
GBA,Harlem Globetrotters: World Tour Review,2
PSP,Gun Showdown Review,7
PSP,Scarface: Money. Power. Respect. Review,7
PC,Age of Empires III: The WarChiefs Review,7
X360,Tiger Woods PGA Tour 07 Review,8
PS2,Bully Review,8
DS,Nintendogs: Dalmatian and Friends Review,8
GC,FIFA 07 Review,8
GC,The Sims 2: Pets Review,7
GBA,Rock 'Em Sock 'Em Robots Review,2
PS2,Tokobot Plus: Mysteries of the Karakuri Review,7
DS,Crash Boom Bang! Review,4
XBOX,Destroy All Humans! 2 Review,7
PS2,Destroy All Humans! 2 Review,7
X360,Lumines Live! Review,6
PC,Sid Meier's Railroads! Review,8
PC,Tiger Woods PGA Tour 07 Review,7
PS2,The Sims 2: Pets Review,7
PC,Ford Bold Moves Street Racing Review,3
PS2,Ford Bold Moves Street Racing Review,4
XBOX,Ford Bold Moves Street Racing Review,4
PC,Pacific Storm Review,5
PC,Microsoft Flight Simulator X Review,8
GBA,FIFA 07 Review,4
DS,FIFA 07 Review,7
DS,Clubhouse Games Review,8
PS2,Tiger Woods PGA Tour 07 Review,7
XBOX,Tiger Woods PGA Tour 07 Review,7
PSP,Tiger Woods PGA Tour 07 Review,7
PC,Mage Knight Apocalypse Review,4
PC,NeverEnd Review,3
PC,Scarface: The World Is Yours Review,6
PC,FIFA 07 Review,8
PS2,FIFA 07 Review,8
XBOX,FIFA 07 Review,8
DS,Bubble Bobble Revolution Review,3
DS,Rainbow Islands Revolution Review,6
PSP,Stacked with Daniel Negreanu Review,7
XBOX,Scarface: The World Is Yours Review,6
PS2,Scarface: The World Is Yours Review,6
GC,Baten Kaitos Origins Review,7
PS2,Tales of the Abyss Review,7
PC,Defcon: Everybody Dies Review,8
PSP,Mercury Meltdown Review,8
PS2,Mortal Kombat: Armageddon Review,7
PC,"Warhammer 40,000: Dawn of War -- Winter Assault Review",8
PS2,God Hand Review,8
XBOX,Mortal Kombat: Armageddon Review,7
PC,GTR 2 Review,9
PS2,The Fast and the Furious Review,6
PS2,NHL 2K7 Review,7
PS2,AFL Premiership 2006 Review,6
PC,Caesar IV Review,7
X360,World Series of Poker: Tournament of Champions Review,6
PS2,World Series of Poker: Tournament of Champions Review,6
X360,TotemBall Review,5
PSP,NBA 07 Review,5
PSP,World Series of Poker: Tournament of Champions Review,6
DS,Mage Knight: Destiny's Soldier Review,5
PS2,NBA 07 Review,6
GBA,Open Season Review,7
PSP,MotoGP Review,7
PSP,Gangs of London Review,5
XBOX,Brute Force Review,7
X360,Import Tuner Challenge Review,6
PC,NHL: Eastside Hockey Manager 2007 Review,8
PSP,NBA Live 07 Review,6
PS2,Valkyrie Profile 2: Silmeria Review,8
X360,NBA Live 07 Review,6
XBOX,NBA Live 07 Review,7
PS2,NBA Live 07 Review,7
PS2,Dance Dance Revolution SuperNOVA Review,7
PSP,Rengoku II: The Stairway to H.E.A.V.E.N. Review,6
DS,Open Season Review,7
PSP,Open Season Review,7
X360,Open Season Review,5
GC,Open Season Review,5
PC,Open Season Review,5
PS2,Open Season Review,5
XBOX,Open Season Review,5
GC,Soul Calibur II Review,8
PC,Word Mojo Review,6
PC,Wonderland Review,6
PC,Wheel of Fortune Deluxe review,6
PC,Tumble Bugs Review,7
PC,Trivia Machine Review,7
PC,Tennis Titans Review,6
PC,Slyder Adventures review,8
PC,Shapo Gold Review,6
PC,Shape Shifter Review,7
PC,Shape Solitaire Review,5
PC,Ruckus Buck's Dangerous Mines review,6
PC,Pipeline Review,7
PC,Zam BeeZee Review,8
PC,Upwords Deluxe Review,7
PC,Panda Craze Review,7
PC,Pacific Heroes Review,5
PC,Maui Wowee Review,6
PC,Mah Jong Tiles Deluxe Review,5
XBOX,NBA 2K7 Review,7
GC,Naruto: Clash of Ninja 2 Review,6
PS2,NBA 2K7 Review,7
PC,Mah Jong Quest Review,7
PC,Mah Jong Medley Review,6
PC,Tradewinds 2 Review,7
PC,Luxor Review,7
PC,Spin & Win Review,4
PC,Slingo Review,5
PC,Scrabble Rack Attack Deluxe Review,5
PC,Scrabble Deluxe Review,7
PC,Scrabble Blast Deluxe Review,5
PC,Links Course Challenge: Chateau Whistler Review,6
PC,Jigsaw 365 Review,5
PC,Saints and Sinners Bingo Review,8
PC,Jigs@w Puzzle Platinum Edition Review,5
PC,Jewel Quest Review,6
PC,Jeopardy! Deluxe Review,6
PC,Inspector Parker Review,8
PC,Insaniquarium Deluxe Review,6
PC,Hexic Deluxe Review,6
PC,Heavy Weapon Deluxe Review,6
PC,Gold Miner Joe Review,6
PC,Flip Words Review,7
PC,Fiber Twig Review,6
PC,Feeding Frenzy Review,6
PC,Fate: The Carnivale Game Review,6
PC,Dino and Aliens Review,6
PC,Charm Tale Review,7
PC,Pizza Frenzy Review,7
PC,Pixelus Review,6
PC,Oasis Review,8
PC,Mortimer and the Enchanted Castle Review,6
PC,Mega Flexicon Review,7
PC,Infinite Crosswords Review,6
PC,Diner Dash Review,9
PC,Cubis Gold 2 Review,7
PC,Chainz Review,6
PC,Combo Chaos Review,5
PC,Cosmic Bugs Review,4
PC,Chuzzle Review,7
PC,Chicken Invaders: The Next Wave Review,5
PC,Bespelled Review,6
PC,Catan Review,7
PC,Alien Sky Review,6
PC,Two Feet Texas Hold 'Em Review,5
PC,Tik's Texas Hold 'Em Review,7
PC,Rocketbowl Review,7
PC,Magic Ball 2 Review,7
PC,Hardwood Solitaire Deluxe Review,7
PC,Hamsterball Review,7
PC,Gutterball 2 Review,6
PC,Gold Fever Review,6
PC,Big Kahuna Reef Review,8
PC,Bankshot Billiards Review,8
PC,Atomaders Review,5
PC,Bricks of Egypt Review,6
PC,BreakQuest Review,8
PC,Bookworm Deluxe Review,7
PC,Betty's Beer Bar Review,7
PC,BeTrapped! Review,7
PC,AstroPop Review,7
PC,Atlantis Review,7
PC,Ballistik Review,7
PC,Bejeweled Deluxe Review,6
X360,LMA Manager 2007 Review,7
X360,NBA 2K7 Review,8
DS,Harvest Moon DS Review,5
GBA,Capcom Classics Mini Mix Review,6
DS,Mario vs. Donkey Kong 2: March of the Minis Review,8
PS2,Rule of Rose Review,6
PC,Joint Task Force Review,6
DS,MechAssault: Phantom War Review,7
PC,Faces of War Review,6
PC,Just Cause Review,7
XBOX,Just Cause Review,7
PS2,Just Cause Review,6
X360,Just Cause Review,7
PC,Astroblasters Review,7
PC,Alchemy Review,6
PC,5 Spot II Review,7
PC,Alien Shooter Review,6
PC,Adventure Inlay Review,6
X360,Samurai Warriors 2 Review,5
PS2,Samurai Warriors 2 Review,6
DS,Pokémon Mystery Dungeon: Blue Rescue Team Review,5
GBA,Pokémon Mystery Dungeon: Red Rescue Team Review,5
DS,Dragon Quest Heroes: Rocket Slime Review,7
XBOX,ProStroke Golf - World Tour 2007 Review,5
PSP,The Godfather: Mob Wars Review,6
DS,Cooking Mama Review,6
PS2,Okami Review,9
X360,The Godfather Review,7
PC,World Racing 2 Review,4
PC,Ankh Review,7
PS2,The King of Fighters 2006 Review,7
PSP,Bomberman Review,7
XBOX,Spy Hunter: Nowhere to Run Review,5
PS2,Spy Hunter: Nowhere to Run Review,5
PC,NHL 07 Review,7
PS2,NHL 07 Review,7
XBOX,NHL 07 Review,7
PSP,NHL 07 Review,7
GBA,LEGO Star Wars II: The Original Trilogy Review,7
DS,LEGO Star Wars II: The Original Trilogy Review,7
X360,NHL 07 Review,8
PSP,Bounty Hounds Review,6
PC,American McGee Presents Bad Day LA Review,3
X360,Scramble Review,6
X360,NHL 2K7 Review,8
XBOX,NHL 2K7 Review,7
PC,First Battalion Review,6
DS,Mario Hoops 3 on 3 Review,7
DS,Mega Man ZX Review,7
PSP,NASCAR  Review,7
PC,Company of Heroes Review,9
X360,Lego Star Wars II Review,7
PSP,Lego Star Wars II Review,7
PS2,Lego Star Wars II Review,7
XBOX,Lego Star Wars II Review,7
GC,Lego Star Wars II Review,7
PC,Lego Star Wars II Review,7
PSP,Guilty Gear Judgment Review,7
PS2,Dance Factory Review,4
X360,Xbox Live Arcade Unplugged Volume 1 Review,7
PS2,NASCAR 07 Review,7
XBOX,NASCAR 07 Review,7
PC,Big Oil: Build an Oil Empire Review,3
PSP,Burnout Legends Review,9
PS2,Disgaea 2: Cursed Memories Review,8
PSP,Super Monkey Ball Adventure Review,5
PSP,LocoRoco Review,7
PC,Perimeter: Emperor's Testament Review,7
PS2,Yakuza Review,7
X360,Bomberman: Act Zero Review,2
GC,One Piece Grand Adventure Review,5
PS2,One Piece Grand Adventure Review,5
PSP,Pac-Man World Rally Review,4
PS2,Pac-Man World Rally Review,5
GC,Pac-Man World Rally Review,5
DS,Freedom Wings Review,6
XBOX,World Racing 2 Review,4
X360,Enchanted Arms Review,7
PS2,Xenosaga Episode III: Also Sprach Zarathustra Review,8
PSP,50 Cent: Bulletproof Review,5
X360,Time Pilot Review,7
GBA,Madden NFL 07 Review,6
X360,Saints Row Review,8
PSP,Ultimate Ghosts 'n Goblins Review,6
PC,Sword of the Stars Review,7
PSP,Def Jam: Fight for NY: The Takeover Review,8
PC,Barrow Hill: Curse of the Ancient Circle Review,2
X360,Texas Hold 'Em Review,6
PC,Safecracker: The Ultimate Puzzle Adventure Review,6
X360,Madden NFL 07 Review,7
PS2,Madden NFL 07 Review,8
GC,Madden NFL 07 Review,8
XBOX,Madden NFL 07 Review,8
PSP,Payout Poker & Casino Review,6
XBOX,Xyanide Review,7
PS2,Pirates: Legend of the Black Buccaneer Review,3
DS,Deep Labyrinth Review,6
PC,Act of War: High Treason Review,8
PS2,Dirge of Cerberus: Final Fantasy VII Review,6
PC,DarkStar One Review,8
X360,Ninety-Nine Nights Review,5
PC,FlatOut 2 Review,7
PC,World War II Combat: Iwo Jima Review,2
XBOX,World War II Combat: Iwo Jima Review,2
GBA,Battle B-Daman Review,5
X360,Pac-Man Review,6
GC,Super Monkey Ball Adventure Review,5
PS2,Super Monkey Ball Adventure Review,5
GC,Barnyard Review,7
PS2,Barnyard Review,7
PC,Barnyard Review,7
GBA,Barnyard Review,5
X360,Dead Rising Review,8
PC,Dungeon Siege II: Broken World Review,6
PS2,Sprint Cars: Road to Knoxville Review,5
X360,Street Fighter II' Hyper Fighting Review,6
PSP,Tekken: Dark Resurrection Review,9
XBOX,FlatOut 2 Review,7
PS2,FlatOut 2 Review,7
GBA,Summon Night: Swordcraft Story Review,7
GBA,The Ant Bully Review,6
GC,The Ant Bully Review,4
PS2,The Ant Bully Review,4
PC,The Ant Bully Review,4
XBOX,AMF Xtreme Bowling Review,4
PC,The Secrets of Da Vinci: The Forbidden Manuscript Review,6
XBOX,Painkiller: Hell Wars Review,7
PC,CivCity: Rome Review,6
XBOX,Warpath Review,5
PC,Warpath Review,5
GBA,Greg Hastings' Tournament Paintball Max'd Review,2
X360,Galaga Review,6
PC,Terrawars: New York Invasion Review,2
PSP,Miami Vice: The Game Review,7
PC,Outlaw Chopper Review,2
PC,The Ship Review,8
PC,Civilization IV: Warlords Review,8
GC,Monster House Review,4
PS2,Monster House Review,4
GBA,Pirates of the Caribbean: Dead Man's Chest Review,6
GBA,Monster House Review,8
DS,Monster House Review,7
PSP,Blade Dancer: Lineage of Light Review,6
PC,Moscow to Berlin: Red Siege Review,4
PS2,Super Dragon Ball Z Review,7
X360,Cloning Clyde Review,7
X360,NCAA Football 07 Review,8
PS2,NCAA Football 07 Review,8
XBOX,NCAA Football 07 Review,8
DS,Pirates of the Caribbean: Dead Man's Chest Review,5
PC,IHRA Drag Racing: Sportsman Edition Review,3
PS2,World Soccer Winning Eleven 9 Review,9
PSP,NCAA Football 07 Review,7
PSP,Valkyrie Profile: Lenneth Review,7
PSP,Pirates of the Caribbean: Dead Man's Chest Review,6
PS2,Ruff Trigger: Vanocore Conspiracy Review,6
PC,Cossacks II: Battle for Europe Review,6
PC,Micro Machines V4 Review,5
X360,Chromehounds Review,7
X360,Frogger Review,6
PC,Glory of the Roman Empire Review,5
PSP,MTX Mototrax Review,7
PSP,Juiced Eliminator Review,6
XBOX,IHRA Drag Racing Sportsman Edition Review,3
PS2,IHRA Drag Racing Sportsman Edition Review,3
X360,Prey Review,7
PC,Prey Review,7
PC,Night Watch Review,5
X360,"The Lord of the Rings, The Battle for Middle-earth II Review",8
PS2,Naruto: Ultimate Ninja Review,7
PC,International Cricket Captain 2006 Review,6
PC,Hard Truck: Apocalypse Review,4
X360,Over G Fighters Review,5
PS2,Pirates of the Caribbean: The Legend of Jack Sparrow Review,6
PC,Pirates of the Caribbean: The Legend of Jack Sparrow Review,6
PSP,World Tour Soccer 2 Review,7
PS2,AMF Xtreme Bowling Review,4
PS2,Micro Machines V4 Review,5
PC,Titan Quest Review,7
PS2,Armored Core: Last Raven Review,5
DS,Break 'Em All Review,6
DS,Sudoku Gridmaster Review,6
XBOX,Crusty Demons Review,4
PC,Rome: Total War Alexander Review,8
GBA,Mega Man Battle Network 6 Cybeast Falzar Review,6
GBA,Mega Man Battle Network 6: Cybeast Gregar Review,6
PC,Soldier Elite Review,4
PC,NFL Head Coach Review,7
PS2,Armored Core: Nine Breaker Review,6
PSP,Tomb Raider: Legend Review,6
PS2,NFL Head Coach Review,7
XBOX,NFL Head Coach Review,7
GBA,Dragon Ball: Advanced Adventure Review,7
PSP,The Legend of Heroes II: Prophecy of the Moonlight Witch Review,6
X360,MotoGP 06 Review,8
PS2,MotoGP 4 Review,7
GC,Major League Baseball 2K6 Review,7
PSP,Talkman Review,7
DS,Point Blank DS Review,7
PC,Freedom Force vs. The Third Reich Review,8
PS2,Urban Chaos: Riot Response Review,7
XBOX,Urban Chaos: Riot Response Review,7
PS2,Gallop Racer 2006 Review,5
PS2,MLB SlugFest 2006 Review,5
XBOX,MLB SlugFest 2006 Review,5
PC,Sensible Soccer 2006 Review,7
PSP,Cars Review,7
DS,Cars Review,6
GBA,Cars Review,6
PC,Rise & Fall: Civilizations at War Review,6
PS2,Street Fighter Alpha Anthology Review,7
PS2,And 1 Streetball Review,4
XBOX,And 1 Streetball Review,4
DS,Dino Master Review,2
PS2,Grand Theft Auto: Liberty City Stories Review,7
PC,The Movies: Stunts & Effects Review,7
DS,2006 FIFA World Cup Review,7
PC,Rush for Berlin Review,7
PSP,Gradius Collection Review,8
PS2,Teen Titans Review,6
GC,Teen Titans Review,6
PSP,Astonishia Story Review,6
DS,Big Brain Academy Review,7
