Console,GameName,Score
"PC, NS, IOS",Overland Review - Road Trip From Hell,8
"PS4, PC, XONE",Ace Combat 7: Skies Unknown Review - Head In The Clouds,8
"PS4, XONE, PC",The Outer Worlds Review - Over The Moon,9
"PC, PS4, XONE",Draugen Review - Mystery Loves Company,7
PS4,Wattam Review - Forever Wondering,7
PC,Supermash Review - Flop Jam,3
NS,The Touryst Review - Life's A Beach,8
PC,Phoenix Point Review - The Life Aquatic,8
PC,Darksiders: Genesis Review - Lucy And The Horsemen,7
PC,Shovel Knight: King Of Cards Review - Royal Refinement,8
"PS4, PC, XONE",Life Is Strange 2: Episode 5 Review - Beyond Good Or Evil,8
PS4,Audica Review - Electronic Gun Music,6
PS4,Shenmue 3 Review - From A Forgotten Time,5
PC,Blacksad: Under The Skin Review - Dog Days,5
PC,Planet Zoo Review - Spreadsheet Safari,7
NS,Sparklite Review - Shine A Light,6
"PS4, PS4",Star Wars Jedi: Fallen Order Review - A Good Feeling About This,8
NS,Pokemon Sword & Shield Review - Curry Favor,9
NS,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy Review - Merry Old England,7
PS4,Need For Speed Heat Review - Getting Warmer,7
NS,Mario & Sonic At The Olympic Games Tokyo 2020 Review - Gotta Go Fast,7
"PC, PS4",Call Of Duty: Modern Warfare Review - Stay Frosty (Again),7
"PS4, XONE",Red Dead Redemption 2 Review - Wild Wild West,9
"AND, IOS",Call Of Duty Mobile Review - Boots On The Go,8
PC,Disco Elysium Review - Pure Dynamite,1
PC,"Afterparty Review - Drink, Die, Repeat",7
NS,Luigi's Mansion 3 Review - Mario Is Missing,8
PS4,WWE 2K20 Review: Botchamania,2
PS4,"Super Monkey Ball Banana Blitz HD Review - All Monkey, No Magic",5
"PC, IOS",Manifold Garden Review - Stairways To Puzzle Heaven,9
PS4,MediEvil Review - Bones 'n Brawn,5
NS,Felix The Reaper Review - Footloose,5
NS,Little Town Hero Review - Brat Country,5
NS,The Witcher 3 Nintendo Switch Review - The Last Wish,9
NS,Killer Queen Black Review - 'Cause I'm Having a Good Time,8
"PC, XONE, PS4",Ghost Recon Breakpoint Review - Faulty Reconaissance,4
PC,John Wick Hex Review - Tick Tock Wick,8
PS4,Concrete Genie Review - Rubs Me The Right Way,7
PC,Indivisible Review - Moving Mountains,7
"PC, NS, IOS",Neo Cab Review - Taxi Cab Confessions,7
"PC, PS4, PS4",Destiny 2 Shadowkeep Review - Moon's Haunted,8
NS,Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia,6
NS,Sayonara Wild Hearts Review - Falling Star,6
"PC, PS4",Code Vein Review - There Will Be Blood,6
"PC, NS",Untitled Goose Game Review - Saved By The Bell,8
PC,The Surge 2 Review - Out On A Limb,8
"IOS, PC, NS",80 Days Review - A Man And His Fogg,8
PS4,FIFA 20 Review - Premier League,8
"NS, PS4",Dragon Quest XI Review - Nintendo Switch Definitive Edition Update,9
PC,Blasphemous Review - Darker Souls,7
PC,Greedfall Review - Lost In Another World,5
XONE,NHL 20 Review - Smashed,9
NS,The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake,8
PS4,No Man's Sky Beyond Review - Reach For The Stars,9
PC,Children of Morta Review,8
PS4,AI: The Somnium Files Review - Eyes Love You,8
PC,"Borderlands 3 Review - Six Sirens, One God-Queen",8
PS4,eFootball PES 2020 Review - A Winning Formula,9
NS,Daemon X Machina Review - Tinker Toys,7
"XONE, PC",Gears 5 Review - A Beneficial Mutation,7
"PC, PS4, NS",Divinity: Original Sin 2 Review - Switch Definitive Edition Update,1
PC,Creature In The Well Review - Well-Placed Shot,8
PS4,Monster Hunter World: Iceborne Review - A Very Ice Time,9
"PS4, PC",Knights And Bikes Review - Double Trouble,8
PS4,Erica Review - Movie Night,8
"PS4, XONE, PC",Apex Legends Review -- A New Battle Royale Titan,9
PS4,The Dark Pictures: Man of Medan Review - Drown And Out,6
PC,Blair Witch (Game) Review - Prying Eyes,5
PS4,Catherine: Full Body Review - One Step Closer To The Edge,8
NS,Astral Chain Review - Anime Police Academy,8
PC,Telling Lies Review - Watch Carefully,7
PC,Ancestors: The Humankind Odyssey Review - Devolution Of The Species,4
"XONE, PS4",Control Review - An Action-Packed Paranormal Portal,8
"XONE, PC, PS4",Life Is Strange 2: Episode 4 Review - Gotta Have Faith,7
PC,Remnant: From the Ashes Review - In My Sights,7
PC,Wolfenstein: Youngblood Review - Family Matters,8
PS4,Kill La Kill The Game: IF Review - Don't Lose Your Way,7
"PC, NS",Etherborn Review,6
